y,u
"440112233243,992","11,1000003815"
"439529222656,372","13,6999998093"
"445007786168,319","15,5"
"452884939144,963","16,8999996185"
"460967520169,85","19,6000003815"
"471668585471,638",21
"487013482004,836","20,6000003815"
"514028717025,194","19,8999996185"
"540215006470,599","18,8999996185"
"566291348509,902",17
"587705052524,646",16
"602668026489,28","16,1000003815"
"608268110818,497","18,1000003815"
"601993875288,707","22,3999996185"
"616340565108,611","23,8999996185"
"633336119409,734","22,7000007629"
"648643931519,84",22
"673737980443,29","20,6000003815"
"703841675998,072","18,6000003815"
"737245561261,189","15,6000003815"
"774475100606,667","13,8999996185"
"802893926680,075","10,5"
"824653816873,566","11,3999996185"
"850131014921,666","11,3000001907"
"877839344182,006",11
909298000000,"9,1999998093"
946363000000,"8,5"
"979288716284,459","8,3000001907"
"988020999700,411","11,3000001907"
"950156434697,386",18
"948244130674,335","20,1000003815"
"948721145663,275","21,6000003815"
"933148303065,534",25
